GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,1600000US4123850,4123850,United States - Oregon - Eugene city,Eugene city,156185,69951,43.75,0.02,43.72,3572.2,1599.9
0100000US,,United States,1600000US4131250,4131250,United States - Oregon - Gresham city,Gresham city,105594,41015,23.43,0.23,23.20,4551.3,1767.8
0100000US,,United States,1600000US4134100,4134100,United States - Oregon - Hillsboro city,Hillsboro city,91611,35487,23.91,0.01,23.90,3833.3,1484.9
0100000US,,United States,1600000US4147000,4147000,United States - Oregon - Medford city,Medford city,74907,32430,25.74,0.01,25.73,2910.9,1260.3
0100000US,,United States,1600000US4159000,4159000,United States - Oregon - Portland city,Portland city,583776,265439,145.09,11.66,133.43,4375.3,1989.4
0100000US,,United States,1600000US4164900,4164900,United States - Oregon - Salem city,Salem city,154637,61276,48.44,0.55,47.90,3228.6,1279.4
0100000US,,United States,1600000US4169600,4169600,United States - Oregon - Springfield city,Springfield city,59403,24809,15.75,0.01,15.74,3774.3,1576.3
0100000US,,United States,0400000US42,42,United States - Pennsylvania,Pennsylvania,12702379,5567315,46054.34,1311.64,44742.70,283.9,124.4
0100000US,,United States,0600000US4209100156,4209100156,"United States - Pennsylvania - Abington township, Montgomery County","Abington township, Montgomery County",55310,22369,15.51,0.00,15.51,3566.2,1442.3
0100000US,,United States,1600000US4202000,4202000,United States - Pennsylvania - Allentown city,Allentown city,118032,46921,18.02,0.48,17.55,6727.1,2674.2
0100000US,,United States,0600000US4201705616,4201705616,"United States - Pennsylvania - Bensalem township, Bucks County","Bensalem township, Bucks County",60427,25246,20.93,1.09,19.84,3046.1,1272.6
0100000US,,United States,1600000US4206088,4206088,United States - Pennsylvania - Bethlehem city,Bethlehem city,74982,31221,19.45,0.35,19.10,3925.4,1634.4
0100000US,,United States,0600000US4201708768,4201708768,"United States - Pennsylvania - Bristol township, Bucks County","Bristol township, Bucks County",54582,20887,17.20,1.26,15.94,3423.8,1310.2
0100000US,,United States,1600000US4224000,4224000,United States - Pennsylvania - Erie city,Erie city,101786,44790,19.28,0.20,19.08,5334.5,2347.4
0100000US,,United States,1600000US4241216,4241216,United States - Pennsylvania - Lancaster city,Lancaster city,59322,23377,7.35,0.13,7.23,8210.0,3235.3
