GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0100000US,,United States,United States,308745538(r38234),131704730(r15031),3796742.23,264836.79,3531905.43,87.4,37.3
0100000US,,United States,0400000US01,01,United States - Alabama,Alabama,4779736(r38235),2171853(r15032),52420.07,1774.74,50645.33,94.4,42.9
0100000US,,United States,0400000US02,02,United States - Alaska,Alaska,710231(r38823),306967(r15611),665384.04,94743.10,570640.95,1.2,0.5
0100000US,,United States,0400000US04,04,United States - Arizona,Arizona,6392017,2844526,113990.30,396.22,113594.08,56.3,25.0
0100000US,,United States,0400000US05,05,United States - Arkansas,Arkansas,2915918(r39193),1316299(r15934),53178.55,1143.07,52035.48,56.0,25.3
0100000US,,United States,0400000US06,06,United States - California,California,37253956,13680081,163694.74,7915.52,155779.22,239.1,87.8
0100000US,,United States,0400000US08,08,United States - Colorado,Colorado,5029196,2212898,104093.67,451.78,103641.89,48.5,21.4
0100000US,,United States,0400000US09,09,United States - Connecticut,Connecticut,3574097,1487891,5543.41,701.06,4842.36,738.1,307.3
0100000US,,United States,0400000US10,10,United States - Delaware,Delaware,897934,405885,2488.72,540.18,1948.54,460.8,208.3
0100000US,,United States,0400000US11,11,United States - District of Columbia,District of Columbia,601723(r39494),296719(r16187),68.34,7.29,61.05,9856.5,4860.4
0100000US,,United States,0400000US12,12,United States - Florida,Florida,18801310(r40184),8989580(r16882),65757.70,12132.94,53624.76,350.6,167.6
0100000US,,United States,0400000US13,13,United States - Georgia,Georgia,9687653(r41102),4088801(r17732),59425.15,1911.67,57513.49,168.4,71.1
0100000US,,United States,0400000US15,15,United States - Hawaii,Hawaii,1360301,519508,10931.72,4509.09,6422.63,211.8,80.9
0100000US,,United States,0400000US16,16,United States - Idaho,Idaho,1567582(r41542),667796,83568.95,925.83,82643.12,19.0,8.1
0100000US,,United States,0400000US17,17,United States - Illinois,Illinois,12830632,5296715,57913.55,2394.62,55518.93,231.1,95.4
0100000US,,United States,0400000US18,18,United States - Indiana,Indiana,6483802,2795541,36419.55,593.44,35826.11,181.0,78.0
0100000US,,United States,0400000US19,19,United States - Iowa,Iowa,3046355,1336417,56272.81,415.68,55857.13,54.5,23.9
0100000US,,United States,0400000US20,20,United States - Kansas,Kansas,2853118,1233215,82278.36,519.64,81758.72,34.9,15.1
0100000US,,United States,0400000US21,21,United States - Kentucky,Kentucky,4339367,1927164,40407.80,921.46,39486.34,109.9,48.8
