GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0400000US01,01,Alabama,8710000US0135058,0135058,Alabama - ZCTA 35058,ZCTA 35058,9936,4231,69.94,1.17,68.78,144.5,61.5
0400000US01,01,Alabama,8710000US0135060,0135060,Alabama - ZCTA 35060,ZCTA 35060,414,215,2.74,0.16,2.58,160.2,83.2
0400000US01,01,Alabama,8710000US0135061,0135061,Alabama - ZCTA 35061,ZCTA 35061,1465,687,1.97,0.00,1.97,742.3,348.1
0400000US01,01,Alabama,8710000US0135062,0135062,Alabama - ZCTA 35062,ZCTA 35062,7944,3355,45.20,0.30,44.89,177.0,74.7
0400000US01,01,Alabama,8710000US0135063,0135063,Alabama - ZCTA 35063,ZCTA 35063,3866,1667,39.52,0.36,39.16,98.7,42.6
0400000US01,01,Alabama,8710000US0135064,0135064,Alabama - ZCTA 35064,ZCTA 35064,11458,5066,4.11,0.00,4.11,2789.9,1233.5
0400000US01,01,Alabama,8710000US0135068,0135068,Alabama - ZCTA 35068,ZCTA 35068,7232,3232,13.96,0.00,13.96,518.0,231.5
0400000US01,01,Alabama,8710000US0135070,0135070,Alabama - ZCTA 35070,ZCTA 35070,265,139,1.40,0.01,1.39,190.9,100.1
0400000US01,01,Alabama,8710000US0135071,0135071,Alabama - ZCTA 35071,ZCTA 35071,15661,6803,57.25,0.18,57.07,274.4,119.2
0400000US01,01,Alabama,8710000US0135072,0135072,Alabama - ZCTA 35072,ZCTA 35072,5193,2420,190.41,0.95,189.46,27.4,12.8
0400000US01,01,Alabama,8710000US0135073,0135073,Alabama - ZCTA 35073,ZCTA 35073,2382,1140,26.65,0.18,26.47,90.0,43.1
0400000US01,01,Alabama,8710000US0135074,0135074,Alabama - ZCTA 35074,ZCTA 35074,93,44,0.06,0.00,0.06,1658.6,784.7
0400000US01,01,Alabama,8710000US0135077,0135077,Alabama - ZCTA 35077,ZCTA 35077,13142,5836,151.68,1.16,150.53,87.3,38.8
