GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HC01,HC02
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0100000US,,United States,1600000US0220020,0220020,United States - Alaska - Dry Creek CDP,Dry Creek CDP,$(X),$(X)
0100000US,,United States,1600000US0220600,0220600,United States - Alaska - Eagle Village CDP,Eagle Village CDP,$(X),$(X)
0100000US,,United States,1600000US0220970,0220970,United States - Alaska - Edna Bay city,Edna Bay city,$-,$**
0100000US,,United States,1600000US0223720,0223720,United States - Alaska - Eureka Roadhouse CDP,Eureka Roadhouse CDP,$-,$**
0100000US,,United States,1600000US0223900,0223900,United States - Alaska - Excursion Inlet CDP,Excursion Inlet CDP,$-,$**
0100000US,,United States,1600000US0225220,0225220,United States - Alaska - Ferry CDP,Ferry CDP,$-,$**
0100000US,,United States,1600000US0225880,0225880,United States - Alaska - Flat CDP,Flat CDP,$-,$**
0100000US,,United States,1600000US0226100,0226100,United States - Alaska - Fort Greely CDP,Fort Greely CDP,$(X),$(X)
0100000US,,United States,1600000US0226835,0226835,United States - Alaska - Four Mile Road CDP,Four Mile Road CDP,$-,$**
0100000US,,United States,1600000US0227700,0227700,United States - Alaska - Game Creek CDP,Game Creek CDP,$-,$**
0100000US,,United States,1600000US0228740,0228740,United States - Alaska - Glennallen CDP,Glennallen CDP,$(X),$(X)
0100000US,,United States,1600000US0230500,0230500,United States - Alaska - Gulkana CDP,Gulkana CDP,$(X),$(X)
0100000US,,United States,1600000US0231270,0231270,United States - Alaska - Halibut Cove CDP,Halibut Cove CDP,$-,$**
0100000US,,United States,1600000US0232310,0232310,United States - Alaska - Healy Lake CDP,Healy Lake CDP,$-,$**
0100000US,,United States,1600000US0232550,0232550,United States - Alaska - Hobart Bay CDP,Hobart Bay CDP,$-,$**
0100000US,,United States,1600000US0233580,0233580,United States - Alaska - Hope CDP,Hope CDP,$-,$**
0100000US,,United States,1600000US0234570,0234570,United States - Alaska - Hyder CDP,Hyder CDP,$-,$**
0100000US,,United States,1600000US0235890,0235890,United States - Alaska - Ivanof Bay CDP,Ivanof Bay CDP,$-,$**
0100000US,,United States,1600000US0238910,0238910,United States - Alaska - Kenny Lake CDP,Kenny Lake CDP,$(X),$(X)
0100000US,,United States,1600000US0242805,0242805,United States - Alaska - Lake Louise CDP,Lake Louise CDP,$-,$**
0100000US,,United States,1600000US0244030,0244030,United States - Alaska - Lime Village CDP,Lime Village CDP,$(X),$(X)
0100000US,,United States,1600000US0244580,0244580,United States - Alaska - Livengood CDP,Livengood CDP,$-,$**
0100000US,,United States,1600000US0245020,0245020,United States - Alaska - Loring CDP,Loring CDP,$-,$**
0100000US,,United States,1600000US0245295,0245295,United States - Alaska - Lowell Point CDP,Lowell Point CDP,$-,$**
0100000US,,United States,1600000US0245700,0245700,United States - Alaska - Lutak CDP,Lutak CDP,$-,$**
0100000US,,United States,1600000US0245790,0245790,United States - Alaska - McCarthy CDP,McCarthy CDP,$-,$**
0100000US,,United States,1600000US0248200,0248200,United States - Alaska - Mendeltna CDP,Mendeltna CDP,$-,$**
0100000US,,United States,1600000US0248590,0248590,United States - Alaska - Mertarvik CDP,Mertarvik CDP,$-,$**
